original_title,cast,director,keywords,runtime,genres,production_companies,release_date,release_year,budget_adj,revenue_adj,profit
Horsehead,Lilly-Fleur Pointeaux|Catriona MacColl|Fu'ad AÃ¯t Aattou|Shane Woodward|Gala Besson,Romain Basset,,89.0,Fantasy|Horror,HorseHead Pictures,2014-09-07,2014,36889069.20400227,115100887.62834093,0.0
Marvel Studios: Assembling a Universe,Robert Downey Jr.|Chris Hemsworth|Chris Evans|Mark Ruffalo|Kevin Feige,,superhero|marvel cinematic universe,43.0,TV Movie|Documentary,Marvel Studios|ABC Studios,2014-03-18,2014,36889069.20400227,115100887.62834093,0.0
V/H/S: Viral,Justin Welborn|Emmy Argo|Gustavo SalmerÃ³n|Nick Blanco|Emilia Zoryan,Nacho Vigalondo|Marcel Sarmiento|Gregg Bishop|Justin Benson|Aaron Moorhead|Todd Lincoln ,mumblegore,81.0,Horror|Thriller,Bloody Disgusting|8383 Productions,2014-10-23,2014,36889069.20400227,2538.52693592614,2538.52693592614
Comet,Justin Long|Kayla Servi|Eric Winter|Emmy Rossum|Ben Scott,Sam Esmail,,91.0,Science Fiction|Comedy|Drama|Romance,Anonymous Content|Fubar Films FL,2014-12-05,2014,36889069.20400227,115100887.62834093,0.0
The One I Love,Mark Duplass|Elisabeth Moss|Ted Danson|Kiana Cason|Kaitlyn Dodson,Charlie McDowell,weekend|therapist|marriage|dilemma|escape,91.0,Romance|Comedy|Drama,Radius-TWC,2014-08-08,2014,36889069.20400227,115100887.62834093,0.0
Grace,Alexia Fast|Joel David Moore|Lin Shaye|Alexis Knapp|Brett Dier,Jeff Chan,exorcism|possession|demon|exorcist|demonic possession,87.0,Thriller|Horror,Automatik Entertainment|Colony Pictures,2014-10-28,2014,36889069.20400227,115100887.62834093,0.0
The Canal,Rupert Evans|Antonia Campbell-Hughes|Hannah Hoekstra|Steve Oram|Kelly Byrne,Ivan Kavanagh,female nudity|sex|drowning|cheating|nudity,92.0,Horror|Mystery|Thriller,The Orchard|Park Films|Treasure Entertainment,2014-10-10,2014,36889069.20400227,115100887.62834093,0.0
Mall,Cameron Monaghan|India Salvor Menuez|James Frecheville|Gina Gershon|Peter Stormare,Joseph Hahn,,88.0,Drama,The Collective|Silver Lining Entertainment,2014-06-18,2014,36889069.20400227,115100887.62834093,0.0
Blood Punch,Milo Cawthorne|Olivia Tennet|Ari Boyland|Cohen Holloway|Adelaide Kane,Madellaine Paxson,black comedy|woman director,104.0,Horror|Thriller,Bluff Road Productions,2014-02-21,2014,36889069.20400227,115100887.62834093,0.0
The Normal Heart,Mark Ruffalo|Jim Parsons|Matt Bomer|Julia Roberts|Jonathan Groff,Ryan Murphy,gay|aids|homosexuality|epidemic,133.0,Drama,Plan B Entertainment|Blumhouse Productions|HBO Films|Ryan Murphy Productions|Twentieth Century Fox Television,2014-05-25,2014,36889069.20400227,115100887.62834093,0.0
Faults,Leland Orser|Mary Elizabeth Winstead|Chris Ellis|Jon Gries|Lance Reddick,Riley Stearns,cult,93.0,Thriller|Drama,Snoot Entertainment,2014-03-06,2014,36889069.20400227,115100887.62834093,0.0
Devil's Due,Allison Miller|Zach Gilford|Sam Anderson|Robert Belushi|Catherine Kresge,Matt Bettinelli-Olpin|Tyler Gillett,found footage,89.0,Horror,Twentieth Century Fox Film Corporation|Davis Entertainment|TSG Entertainment,2014-01-08,2014,6447637.35540021,33559008.3165311,27111370.961130887
Colt 45,GÃ©rard Lanvin|JoeyStarr|Ymanol Perset|Simon Abkarian|Alice Taglioni,Fabrice Du Welz,police|violence,85.0,Drama|Thriller|Action|Crime,La Petite Reine,2014-08-06,2014,36889069.20400227,115100887.62834093,0.0
Every Secret Thing,Diane Lane|Elizabeth Banks|Dakota Fanning|Danielle Macdonald|Nate Parker,Amy Berg,based on novel|baltimore|kidnapping|missing child|baltimore maryland,93.0,Thriller|Drama|Crime|Mystery,Likely Story|Hyde Park Entertainment,2014-04-20,2014,36889069.20400227,115100887.62834093,0.0
The Keeping Room,Hailee Steinfeld|Sam Worthington|Brit Marling|Muna Otaru|Nicholas Pinnock,Daniel Barber,rape|murder|independent film|mistaken identity|home invasion,95.0,Drama|Western,Wind Dancer Productions|Anonymous Content|Gilbert Films,2014-09-25,2014,36889069.20400227,115100887.62834093,0.0
Dinosaur Island,Darius Williams-Watt|Kate Rasmussen|Joe Bistaveous|Juliette Frederick|Vincent Naviti,Matt Drummond,island|children|dinosaur,90.0,Adventure|Science Fiction|Fantasy|Family,Extinct Production,2014-09-01,2014,36889069.20400227,115100887.62834093,0.0
Lap Dance,Carmen Electra|Briana Evigan|Stacey Dash|Nia Peeples|James Remar,Greg Carter,based on true story|cancer|lap dance|female stripper|exotic dancer,100.0,Drama,Imprint Entertainment,2014-12-05,2014,36889069.20400227,115100887.62834093,0.0
Let Us Prey,Liam Cunningham|Niall Greig Fulton|Pollyanna McIntosh|Douglas Russell|Bryan Larkin,Brian O'Malley,scotland|police|murder|violence|stranger,88.0,Horror,Makar Productions|Fantastic Films|Greenhouse Media Investment,2014-04-17,2014,36889069.20400227,115100887.62834093,0.0
Lovesick,Matt LeBlanc|Ali Larter|Rachael Harris|Ashley Williams|Chevy Chase,Luke Matheny,romantic comedy,100.0,Romance|Comedy,Night and Day Pictures|Full Blitz Entertainment,2014-04-24,2014,36889069.20400227,115100887.62834093,0.0
Zapped,Zendaya|Chanelle Peloso|Spencer Boldman|Adam DiMarco|Emilia McCarthy,Peter DeLuise,dance|high school|teenager|teen comedy|obedience,102.0,Family|Fantasy|Comedy|Romance,Muse Entertainment Enterprises|Off-Leash Teleproductions,2014-06-27,2014,36889069.20400227,115100887.62834093,0.0
Revenge of the Green Dragons,Justin Chon|Kevin Wu|Harry Shum Jr.|Ray Liotta|Jin Auyeung,Andrew Lau|Andrew Loo,,94.0,Drama|Action|Crime,Artfire Films|The 7th Floor|Initial A Entertainment|IM Global Octane,2014-03-15,2014,4605455.25385729,115100887.62834093,-4605455.25385729
My Mistress,Emmanuelle BÃ©art|Harrison Gilbertson|Rachael Blake|Socratis Otto|Leah Purcell,Stephen Lance,dominatrix,104.0,Romance|Drama,Mini Studios,2014-08-14,2014,36889069.20400227,115100887.62834093,0.0
Kajaki,Mark Stanley|Malachi Kirby|Ali Cook|David Elliot|Paul Luebke,Paul Katis,afghanistan|bravery|british army|grenade|biography,108.0,Thriller|War|Adventure|Drama,Head Gear Films|Lipsync Productions|Metrol Technology|MENA Film|Pukka Films,2014-11-12,2014,36889069.20400227,115100887.62834093,0.0
Unlocking Sherlock,Benedict Cumberbatch|Martin Freeman|Steven Moffat|Mark Gatiss|Andrew Scott,,,60.0,TV Movie|Documentary,,2014-01-19,2014,36889069.20400227,115100887.62834093,0.0
Expelled,Lia Marie Johnson|Andrea Russett|Marcus Johns|Kristina Hayes|Teala Dunn,Alex Goyette,high school|student|prankster,85.0,Comedy,,2014-12-12,2014,36889069.20400227,115100887.62834093,0.0
Authors Anonymous,Kaley Cuoco|Chris Klein|Teri Polo|Dylan Walsh|Dennis Farina,Ellie Kanner,writer|woman director,92.0,Comedy,Bull Market Entertainment|EKZ Productions|Lainie Productions,2014-04-18,2014,36889069.20400227,115100887.62834093,0.0
Dear White People,Tessa Thompson|Tyler James Williams|Kyle Gallner|Teyonah Parris|Brandon P. Bell,Justin Simien,,108.0,Drama|Comedy,Homegrown Pictures|Duly Noted,2014-10-17,2014,921091.050771459,115100887.62834093,-921091.050771459
Land Ho!,Paul Eenhoorn|Earl Lynn Nelson|Karrie Crouse|Elizabeth McKee|Alice Olivia Clarke,Aaron Katz|Martha Stephens,woman director,96.0,Comedy|Adventure,Unbound Feet Productions|Syncopated Films|Vintage Pictures|Gamechanger Films|Max Cap Productions,2014-07-11,2014,36889069.20400227,115100887.62834093,0.0
Felony,Joel Edgerton|Jai Courtney|Melissa George|Tom Wilkinson|Sarah Roberts,Matthew Saville,australian|australia|police|dirty cop|hit and run,105.0,Mystery|Thriller|Crime,Benaroya Pictures|Goalpost Pictures|Screen Australia|Blue-Tongue Films,2014-08-28,2014,36889069.20400227,115100887.62834093,0.0
Appleseed Alpha,Luci Christian|David Matranga|Wendel Calvert|Adam Gibbs|Elizabeth Bunch,Shinji Aramaki,post-apocalyptic|war|mecha|cyberpunk,90.0,Animation|Science Fiction|Action,Stage 6 Films,2014-05-28,2014,36889069.20400227,115100887.62834093,0.0
Savaged,Amanda Adrienne|Rodney Rowland|Tom Ardavany|John Charles Meyer|Ronnie Gene Blevins,Michael S. Ojeda,,91.0,Action|Drama|Horror|Thriller,Raven Banner Entertainment|Green Dog Films|Cart Before The Horse Productions,2014-08-06,2014,36889069.20400227,115100887.62834093,0.0
Effie Gray,Emma Thompson|Dakota Fanning|Tom Sturridge|Robbie Coltrane|Julie Walters,Richard Laxton,art critic,108.0,Drama,Sovereign Films,2014-03-08,2014,36889069.20400227,115100887.62834093,0.0
Joy Ride 3,Kirsten Prout|Dean Armstrong|Jesse Hutch|Benjamin Hollingsworth|Ken Kirzinger,Declan O'Brien,sequel|trucker,96.0,Thriller,WT Canada Productions,2014-06-03,2014,36889069.20400227,115100887.62834093,0.0
Android Cop,Michael Jai White|Charles S. Dutton|Kadeem Hardison|Randy Wayne|Larissa Vereza,Mark Atkins,,88.0,Action|Science Fiction,The Asylum,2014-02-04,2014,36889069.20400227,115100887.62834093,0.0
Scooby-Doo! WrestleMania Mystery,Matthew Lillard|Grey Griffin|Frank Welker|Frank Welker|Mindy Cohn,Brandon Vietti,,84.0,Animation|Comedy|Family|Mystery,WWE Studios|Warner Bros. Feature Animation,2014-03-25,2014,36889069.20400227,115100887.62834093,0.0
Charlie's Farm,Tara Reid|Bill Moseley|Kane Hodder|Nathan Jones|Dean Kirkright,Chris Sun,australian|slasher,93.0,Horror,Slaughter FX,2014-12-04,2014,2763273.15231437,115100887.62834093,-2763273.15231437
Video Games: The Movie,Sean Astin|Wil Wheaton|Zach Braff|Alison Haislip|Donald Faison,Jeremy Snead,video game|nerd|arcade|computer games|atari,101.0,History|Documentary|Animation,Mediajuice Studios,2014-07-18,2014,36889069.20400227,115100887.62834093,0.0
Exists,Brian Steele|Denise Williamson|Samuel Davis|Roger Edwards|Chris Osborn,Eduardo SÃ¡nchez,,86.0,Horror,Haxan Films|Court Five|Miscellaneous Entertainment,2014-03-17,2014,36889069.20400227,115100887.62834093,0.0
My Old Lady,Maggie Smith|Kevin Kline|Kristin Scott Thomas|Dominique Pinon|Michael Burstin,Israel Horovitz,paris|writer|apartment,107.0,Romance|Comedy|Drama,BBC Films|Cohen Media Group|Deux Chevaux Films,2014-09-09,2014,4605455.25385729,3697062.36431177,-908392.8895455203
I Am Ali,Muhammad Ali|Muhammad Ali Jr.|Hana Ali|Maryum Ali|Rahaman Ali,Clare Lewins,biography|wrestling|sport|woman director,111.0,Documentary,Focus Features,2014-10-10,2014,36889069.20400227,6636.46102080836,6636.46102080836
One Square Mile,Kelly Blatz|Richard Jenkins|Cam Gigandet|Kim Basinger|Analeigh Tipton,Charles-Olivier Michaud,brother brother relationship|single parent|running|guitar|bar,96.0,Drama,One Square Mile Management Company|Phoenix Rising Motion Pictures,2014-06-05,2014,36889069.20400227,115100887.62834093,0.0
Age of Tomorrow,Kelly Hu|Anthony Marks|Robert Picardo|Lane Townsend|Morgan West,James Kondelik,asteroid|blood splatter|outer space|alien invasion|fire department,90.0,Thriller|Science Fiction|Action,The Asylum,2014-06-10,2014,36889069.20400227,115100887.62834093,0.0
Rudderless,Billy Crudup|Anton Yelchin|Felicity Huffman|Selena Gomez|Laurence Fishburne,William H. Macy,father-son relationship|rock band|grieving father,105.0,Music|Drama|Comedy,Unified Pictures|Amberdale Productions|Tee Rob Pictures,2014-10-17,2014,4605455.25385729,115100887.62834093,-4605455.25385729
Copenhagen,Gethin Anthony|Frederikke Dahl Hansen|Sebastian Armesto|Tamzin Merchant|Mille Dinesen,Mark Raso,,98.0,Adventure|Romance|Drama,Heretic Films|Scorched Films|Fidelio,2014-10-03,2014,36889069.20400227,115100887.62834093,0.0
Bang Bang,Hrithik Roshan|Katrina Kaif|Danny Denzongpa|Ron Smoorenburg,Siddharth Anand,london|dancing|secret agent|revenge|heist,153.0,Action|Adventure|Thriller|Romance,Fox Star Studios,2014-10-02,2014,36889069.20400227,115100887.62834093,0.0
TEKKEN: A Man Called X,Kane Kosugi|Cary-Hiroyuki Tagawa|Gary Daniels|Charlotte Kirk|Rade Serbedzija,Wych Kaosayananda,martial arts|amnesia|based on video game,90.0,Action,SP Entertainments,2014-08-12,2014,36889069.20400227,115100887.62834093,0.0
Houdini,Adrien Brody|Kristen Connolly|Evan Jones|Tom Benedict Knight|Caroline Boulton,Uli Edel,magic|biography|houdini,210.0,TV Movie|Drama|History,A&E Television Networks|Lionsgate Television,2014-09-01,2014,36889069.20400227,115100887.62834093,0.0
7 Minutes,Luke Mitchell|Leven Rambin|Jason Ritter|Kris Kristofferson|Joel Murray,Jay Martin,robbery,92.0,Drama|Crime|Thriller,Whitewater Films,2014-10-26,2014,36889069.20400227,115100887.62834093,0.0
De toutes nos forces,Jacques Gamblin|Alexandra Lamy|Fabien HÃ©raud|Sophie de FÃ¼rst|Pablo Pauly,Nils Tavernier,,94.0,Drama,Nord-Ouest Productions|PathÃ© Films,2014-03-26,2014,36889069.20400227,115100887.62834093,0.0
Life Itself,Roger Ebert|Werner Herzog|Martin Scorsese|Errol Morris|Ava DuVernay,Steve James,,120.0,Documentary,Film Rites|Kartemquin Films|CNN Films,2014-07-04,2014,36889069.20400227,115100887.62834093,0.0
Life Partners,Leighton Meester|Gillian Jacobs|Adam Brody|Gabourey Sidibe|Beth Dover,Susanna Fogel,sexuality|roommate|change|friends|romance,95.0,Romance|Comedy,Haven Entertainment|Sandia Media|Minerva Productions,2014-12-05,2014,36889069.20400227,7612.81753462611,7612.81753462611
Mercy,Chandler Riggs|Dylan McDermott|Mark Duplass|Frances O'Connor|Joel Courtney,Peter Cornwell,,79.0,Thriller|Horror,Blumhouse Productions|Wonderland Sound and Vision,2014-10-07,2014,36889069.20400227,115100887.62834093,0.0
Late Phases,Tina Louise|Ethan Embry|Erin Cummings|Karen Lynn Gorney|Tom Noonan,AdriÃ¡n GarcÃ­a Bogliano,vietnam veteran|werewolf|retirement community,95.0,Thriller|Horror,Glass Eye Pix|Dark Sky Films|Site B,2014-11-21,2014,36889069.20400227,115100887.62834093,0.0
10.000 KM,Natalia Tena|David Verdaguer,Carlos Marques-Marcet,girlfriend|relationship|couple|boyfriend|long distance relationship,99.0,Comedy|Drama|Romance,TelevisiÃ³n EspaÃ±ola (TVE)|TelevisiÃ³ de Catalunya (TV3)|La Panda|Broad Green Pictures,2014-05-16,2014,36889069.20400227,115100887.62834093,0.0
Mockingbird,Alyvia Alyn Lind|Emily Alyn Lind|Audrey Marie Anderson|Lee Garlington|Spencer List,Bryan Bertino,,81.0,Horror,Marc Platt Productions|Blumhouse Productions|Unbroken Pictures,2014-10-07,2014,36889069.20400227,115100887.62834093,0.0
A Good Man,Steven Seagal|Victor Webster|Tzi Ma|Iulia Verdes|Massimo Dobrovic,Keoni Waxman,,100.0,Action,Steamroller Productions|Grindstone Entertainment Group|Voltage Pictures|Picture Perfect Corp.,2014-08-19,2014,6447637.35540021,115100887.62834093,-6447637.35540021
Fort Bliss,Michelle Monaghan|Emmanuelle Chriqui|Pablo Schreiber|Ron Livingston|Freddy RodrÃ­guez,Claudia Myers,war veteran|woman director|afghanistan veteran,116.0,War|Drama,National Picture Show Entertainment|Yeniceri Produksiyon A.S.,2014-09-05,2014,36889069.20400227,115100887.62834093,0.0
Finding Vivian Maier,,John Maloof|Charlie Siskel,,83.0,Documentary,,2014-03-28,2014,36889069.20400227,1384967.24139677,1384967.24139677
Where Hope Grows,Danica McKellar|William Zabka|Kerr Smith|McKaley Miller|Kristoffer Polaha,Chris Dowling,,95.0,Drama,Godspeed Pictures,2014-04-06,2014,36889069.20400227,1064781.2546918,1064781.2546918
The Well,Haley Lu Richardson|Booboo Stewart|Max Charles|Nicole Fox|Michael Welch,Thomas S. Hammock,post-apocalyptic|revenge|murder|survival|drought,95.0,Horror|Thriller|Action,Federighi Films,2014-06-12,2014,36889069.20400227,115100887.62834093,0.0
Dinosaur 13,Peter L. Larson|Louie Psihoyos|Stan Adelstein|Lanice Archer,Todd Douglas Miller,paleontology|tyrannosaurus rex|paleontologist|dinosaur|south dakota,95.0,Documentary,Statement Pictures,2014-08-15,2014,36889069.20400227,115100887.62834093,0.0
"Like Sunday, Like Rain",Leighton Meester|Debra Messing|Billie Joe Armstrong|Julian Shatkin|Georgia X. Lifsher,Frank Whaley,au pair|friendship|drama|new york city,104.0,Music|Drama,FJ Productions|BB Films,2014-03-01,2014,36889069.20400227,25982.1363601613,25982.1363601613
Cesar Chavez,Michael PeÃ±a|Rosario Dawson|America Ferrera|Jacob Vargas|Gabriel Mann,Diego Luna,,102.0,Drama,,2014-03-28,2014,9210910.50771459,115100887.62834093,-9210910.50771459
Little Accidents,Elizabeth Banks|Boyd Holbrook|ChloÃ« Sevigny|Jacob Lofland|Josh Lucas,Sara Colangelo,small town|woman director|miners|mining accident,105.0,Drama,MindSmack Productions|Archer Gray|Maiden Voyage Pictures,2014-01-22,2014,36889069.20400227,115100887.62834093,0.0
Supermensch: The Legend of Shep Gordon,Shep Gordon|Alice Cooper|Sylvester Stallone|Anne Murray|Willie Nelson,Mike Myers|Beth Aala,musician|biography|music business|rock music|chef,85.0,Documentary,A&E IndieFilms|Nomoneyfun Films,2014-06-06,2014,36889069.20400227,115100887.62834093,0.0
The Internet's Own Boy: The Story of Aaron Swartz,Aaron Swartz|Tim Berners-Lee|Cory Doctorow|Peter Eckersley|Lawrence Lessig,Brian Knappenberger,hacker|internet|aaron swartz,105.0,Documentary,Participant Media|FilmBuff|Luminant Media|Unjustus Films,2014-06-27,2014,36889069.20400227,115100887.62834093,0.0
Almost Home,Steve Martin|Tom McGrath|David Soren,Todd Wilderman,,4.0,Adventure|Animation|Science Fiction,DreamWorks Animation,2014-02-01,2014,36889069.20400227,115100887.62834093,0.0
Harmontown,Dan Harmon|Erin McGathy|Spencer Crittenden|Steve Agee|Jack Black,Neil Berkeley,tour|comedy|relationship|podcast,95.0,Documentary,,2014-03-08,2014,36889069.20400227,115100887.62834093,0.0
El Inventor de Juegos,Ed Asner|David Mazouz|Joseph Fiennes|Tom Cavanagh|Valentina Lodovini,Juan Pablo Buscarini,inventor|board game|children|orphan|based on a children's book,112.0,Adventure|Family,Sepia Films|DAP Italy|TelevisiÃ³n Federal (Telefe)|Pampa Films|Benteveo Producciones,2014-07-03,2014,5526546.30462875,115100887.62834093,-5526546.30462875
Petals on the Wind,Heather Graham|Ellen Burstyn|Rose McIver|Wyatt Nash|Bailey De Young,Karen Moncrieff,woman director,85.0,TV Movie|Romance|Drama|Thriller,Cue the Dog Productions|A+E Studios|Fries Film Company,2014-05-26,2014,36889069.20400227,115100887.62834093,0.0
Iron Man & Captain America: Heroes United,Adrian Pasdar|Roger Craig Smith|Fred Tatasciore|David Kaye|Clancy Brown,Leo Riley,marvel comic|superhero|based on comic book,71.0,Adventure|Animation|Action,Marvel Studios,2014-07-29,2014,36889069.20400227,115100887.62834093,0.0
Preservation,Pablo Schreiber|Aaron Staton|Wrenn Schmidt|Cody Saintgnue|Nick Saso,Christopher Denham,woods|survival,90.0,Thriller|Horror,Present Pictures,2014-08-22,2014,36889069.20400227,115100887.62834093,0.0
My Man is a Loser,Tika Sumpter|John Stamos|Michael Rapaport|Bryan Callen|Diane Guerrero,Mike Young,,95.0,Comedy,,2014-07-25,2014,36889069.20400227,115100887.62834093,0.0
Virunga,AndrÃ© Bauma|Emmanuel de Merode|MÃ©lanie Gouby|Rodrigue Mugaruka Katembo|Vianney Kazarama,Orlando von Einsiedel,,90.0,Documentary|War,Grain Media|Violet Films,2014-11-07,2014,36889069.20400227,115100887.62834093,0.0
Interstellar: Nolan's Odyssey,Alex Zane|Michael Caine|Jessica Chastain|Anne Hathaway|Hugh Jackman,Dan Storey,making of|space exploration,23.0,Documentary,Sky Movies,2014-11-05,2014,36889069.20400227,115100887.62834093,0.0
American Muscle,Nick Principe|Todd Farmer|Malice McMunn|Trent Haaga|John Fallon,Ravi Dhar,,77.0,Action,Snowfort Pictures|Paradise City,2014-09-30,2014,36889069.20400227,115100887.62834093,0.0
Deep in the Darkness,Dean Stockwell|Sean Patrick Thomas|Dina Cataldi|Kristen Bush,Colin Theys,,100.0,Horror|Thriller,,2014-04-29,2014,36889069.20400227,115100887.62834093,0.0
Jacky au royaume des filles,Vincent Lacoste|Charlotte Gainsbourg|Didier Bourdon|AnÃ©mone|ValÃ©rie Bonneton,Riad Sattouf,,90.0,Comedy,Les Films des Tournelles|Pathe|Studio 27,2014-01-29,2014,36889069.20400227,115100887.62834093,0.0
Alien Abduction,Katherine Sigimund|Corey Eid|Riley Polanski|Jillian Clare|Jeff Bowser,Matty Beckerman,north carolina|vacation|alien|trap|found footage,85.0,Horror|Science Fiction|Thriller,Next Entertainment|Lawrence Bender Productions|BIG Pictures|Exclusive Media Group|Mob Scene Creative Productions,2014-04-04,2014,36889069.20400227,115100887.62834093,0.0
ì‹ ì˜ í•œ ìˆ˜,Lee Beom-soo|Jung Woo-Sung|Lee Si-young|Ahn Sung-Ki|Kim In-Kwon,Cho Beom-gu,prison|gambling|knife|revenge|murder,118.0,Action|Crime|Drama,,2014-07-03,2014,36889069.20400227,115100887.62834093,0.0
The Frame,Christopher Soren Kelly|Cal Bartlett|Megan Heffernan|Marty Lindsey,Jamin Winans,,127.0,Drama|Science Fiction,Double Edge Films,2014-11-21,2014,36889069.20400227,115100887.62834093,0.0
Batman: Strange Days,Kevin Conroy|Brian George|Tara Strong,Bruce Timm,dc comics|superhero|based on comic book|noir|period piece,3.0,Action|Animation,DC Comics,2014-04-09,2014,36889069.20400227,115100887.62834093,0.0
Boys of Abu Ghraib,Sara Paxton|Sean Astin|Michael Welch|John Heard|Elijah Kelley,Luke Moran,,103.0,Drama|War|Thriller,Meteor Film GmbH,2014-03-15,2014,36889069.20400227,115100887.62834093,0.0
Born to Race: Fast Track,Beau Mirchoff|Brett Davern|Bill Sage|Sharon Lawrence|Nicole Badaan,Alex Ranarivelo,,94.0,Action,American Cinema International|Soundscape Media|ESX Productions,2014-03-20,2014,36889069.20400227,115100887.62834093,0.0
The Falling,Maisie Williams|Maxine Peake|Florence Pugh|Joe Cole|Anna Burnett,Carol Morley,girls' boarding school|epidemic|schoolgirl|mass hysteria|sexual awakening,102.0,Drama|Thriller,Metrodome Distribution,2014-10-11,2014,36889069.20400227,115100887.62834093,0.0
Poker Night,Beau Mirchoff|Ron Perlman|Giancarlo Esposito|Corey Large|Titus Welliver,Greg Francis,detective|poker game,104.0,Thriller|Action|Crime,Wingman Productions,2014-12-20,2014,36889069.20400227,115100887.62834093,0.0
I Am Santa Claus,Mick Foley|Artie Lange|Roddy Piper|Jerry Lawler|Sid Haig,Tommy Avallone,santa claus|christmas,89.0,Drama|Documentary|Comedy,Double Windsor Films,2014-11-04,2014,36889069.20400227,115100887.62834093,0.0
Postman Pat: The Movie,David Tennant|Rupert Grint|Jim Broadbent|Stephen Mangan|Ronan Keating,Mike Disa,,88.0,Adventure|Animation|Family,,2014-05-23,2014,36889069.20400227,115100887.62834093,0.0
Creep,Mark Duplass|Patrick Brice,Patrick Brice,mountains|bath|ax|cabin|psychopath,82.0,Horror|Thriller,Blumhouse Productions,2014-06-23,2014,36889069.20400227,115100887.62834093,0.0
The Identical,Ashley Judd|Ray Liotta|Amanda Crew|Seth Green|Danny Woodburn,Dustin Marcellino,musician|twin brother|twins,107.0,Music|Drama,City of Peace Films|Identical Production Company,2014-09-05,2014,11053092.6092575,115100887.62834093,-11053092.6092575
Miss Meadows,Katie Holmes|James Badge Dale|Callan Mulvey|Mary Kay Place|Saidah Arrika Ekulona,Karen Leigh Hopkins,sheriff|gun|vigilante|murder|romance,88.0,Drama,Myriad Pictures|Entertainment One|Wiretap Films,2014-09-12,2014,1842182.10154291,115100887.62834093,-1842182.10154291
Supremacy,Danny Glover|Julie Benz|Joe Anderson|Dawn Olivieri|Derek Luke,Deon Taylor,hostage|ex-con|family hostage|white supremacy,97.0,Crime|Drama,Media House Capital,2014-06-12,2014,36889069.20400227,115100887.62834093,0.0
The Look of Silence,Adi Rukun|M.Y. Basrun|Amir Hasan|Inong|Kemat,Joshua Oppenheimer,,103.0,Documentary,Making Movies Oy|Spring Films|Final Cut for Real|Piraya Film A/S,2014-08-30,2014,36889069.20400227,141402.213750231,141402.213750231
The Outsider,Jason Patric|Craig Fairbrass|James Caan|Shannon Elizabeth|Melissa Ordway,Brian A Miller,,94.0,Action|Crime|Drama|Mystery|Thriller,Hollywood Media Bridge|Zero Gravity Management,2014-02-07,2014,3684364.20308583,115100887.62834093,-3684364.20308583
Iris,Iris Apfel|Carl Apfel,Albert Maysles,,83.0,Documentary,,2014-10-09,2014,36889069.20400227,115100887.62834093,0.0
Squatters,Richard Dreyfuss|Thomas Dekker|Gabriella Wilde|Luke Grimes|Gia Mantegna,Martin Weisz,homelessness|drifter|venice beach california|squatting|pacific palisades,102.0,Drama,Sony Pictures Home Entertainment,2014-05-14,2014,36889069.20400227,115100887.62834093,0.0
The Redwood Massacre,Mark Wood|Lisa Cameron|Lisa Livingstone|Rebecca Wilkie|Adam Coutts,David Ryan Keith,,82.0,Fantasy|Horror,Alive Productions,2014-09-28,2014,144298.124013856,115100887.62834093,-144298.124013856
Bird People,Josh Charles|Radha Mitchell|Mathieu Amalric|Clark Johnson|AnaÃ¯s Demoustier,Pascale Ferran,woman director,128.0,Drama|Fantasy|Romance,Angoa-Agicoa|Procirep|Archipel 35|Canal+|Cofinova 6,2014-06-04,2014,36889069.20400227,115100887.62834093,0.0
Ribbit,Johan Raja Lawak|Nurul Elfira Loy|Awie|Aznil Hj Nawawi|The Glam Girls,Mamat Khalid,adventure|animation|animal|3d animation,88.0,Animation|Comedy|Family|Adventure,KRU Studios,2014-06-21,2014,36889069.20400227,115100887.62834093,0.0
How to Build a Better Boy,China Anne McClain|Kelli Berglund|Marshall Williams|Noah Centineo|Ashley Argota,Paul Hoen,high school|robot|teen comedy|fake boyfriend|young teens,90.0,Family|Science Fiction,Schorr Pictures,2014-08-17,2014,36889069.20400227,115100887.62834093,0.0
Aloft,Jennifer Connelly|MÃ©lanie Laurent|Cillian Murphy|William Shimell|Zen McGrath,Claudia Llosa,new age|woman director|healer,112.0,Drama,Arcadia Motion Pictures|Wanda VisiÃ³n S.A.|Buffalo Gal Pictures,2014-02-12,2014,7368728.40617167,48897.0395212537,-7319831.3666504165
Jarhead 2: Field of Fire,Cole Hauser|Josh Kelly|Danielle Savre|Bokeem Woodbine|Ronny Jhutti,Don Michael Paul,marine corps|taliban|marines|u.s. marine,103.0,War|Action,Universal Pictures|UFO International Productions|Universal 1440 Entertainment,2014-08-14,2014,36889069.20400227,115100887.62834093,0.0
Survivor,Danielle Chuchran|Kevin Sorbo|Rocky Myers|Ruby Jones|Melanie Stone,John Lyde,survivor,93.0,Science Fiction|Action|Fantasy,Arrowstorm Entertainment,2014-07-22,2014,36889069.20400227,115100887.62834093,0.0
Seal Team Eight: Behind Enemy Lines,Tom Sizemore|Langley Kirkwood|Bonnie Lee Bouman|Leroy Gopal|Lex Shrapnel,Roel ReinÃ©,,98.0,Action|War|Drama,20th Century Fox Home Entertainment|Film Afrika Worldwide,2014-03-01,2014,36889069.20400227,115100887.62834093,0.0
